DATE,POPUKA
1700-01-01,6576
1701-01-01,6613
1702-01-01,6657
1703-01-01,6710
1704-01-01,6740
1705-01-01,6754
1706-01-01,6774
1707-01-01,6804
1708-01-01,6834
1709-01-01,6857
1710-01-01,6883
1711-01-01,6884
1712-01-01,6880
1713-01-01,6894
1714-01-01,6921
1715-01-01,6931
1716-01-01,6974
1717-01-01,7022
1718-01-01,7070
1719-01-01,7118
1720-01-01,7099
1721-01-01,7095
1722-01-01,7105
1723-01-01,7133
1724-01-01,7160
1725-01-01,7189
1726-01-01,7246
1727-01-01,7285
1728-01-01,7218
1729-01-01,7109
1730-01-01,7028
1731-01-01,7022
1732-01-01,7050
1733-01-01,7081
1734-01-01,7145
1735-01-01,7201
1736-01-01,7250
1737-01-01,7287
1738-01-01,7314
1739-01-01,7354
1740-01-01,7387
1741-01-01,7400
1742-01-01,7323
1743-01-01,7317
1744-01-01,7360
1745-01-01,7434
1746-01-01,7479
1747-01-01,7512
1748-01-01,7531
1749-01-01,7578
1750-01-01,7639
1751-01-01,7696
1752-01-01,7754
1753-01-01,7821
1754-01-01,7880
1755-01-01,7937
1756-01-01,8004
1757-01-01,8043
1758-01-01,8070
1759-01-01,8104
1760-01-01,8157
1761-01-01,8218
1762-01-01,8255
1763-01-01,8246
1764-01-01,8292
1765-01-01,8361
1766-01-01,8404
1767-01-01,8432
1768-01-01,8461
1769-01-01,8522
1770-01-01,8586
1771-01-01,8645
1772-01-01,8715
1773-01-01,8787
1774-01-01,8855
1775-01-01,8951
1776-01-01,9040
1777-01-01,9131
1778-01-01,9230
1779-01-01,9320
1780-01-01,9376
1781-01-01,9483
1782-01-01,9561
1783-01-01,9590
1784-01-01,9685
1785-01-01,9781
1786-01-01,9889
1787-01-01,10009
1788-01-01,10116
1789-01-01,10253
1790-01-01,10374
1791-01-01,10507
1792-01-01,10632
1793-01-01,10749
1794-01-01,10850
1795-01-01,10978
1796-01-01,11094
1797-01-01,11243
1798-01-01,11377
1799-01-01,11515
1800-01-01,11596
1801-01-01,11684
1802-01-01,11788
1803-01-01,11929
1804-01-01,12097
1805-01-01,12280
1806-01-01,12461
1807-01-01,12636
1808-01-01,12805
1809-01-01,12976
1810-01-01,13145
1811-01-01,13321
1812-01-01,13525
1813-01-01,13742
1814-01-01,13959
1815-01-01,14191
1816-01-01,14430
1817-01-01,14660
1818-01-01,14886
1819-01-01,15104
1820-01-01,15335
1821-01-01,15586
1822-01-01,15844
1823-01-01,16098
1824-01-01,16335
1825-01-01,16562
1826-01-01,16780
1827-01-01,16999
1828-01-01,17238
1829-01-01,17473
1830-01-01,17703
1831-01-01,17941
1832-01-01,18143
1833-01-01,18338
1834-01-01,18562
1835-01-01,18798
1836-01-01,19035
1837-01-01,19244
1838-01-01,19460
1839-01-01,19720
1840-01-01,19971
1841-01-01,20198
1842-01-01,20410
1843-01-01,20624
1844-01-01,20836
1845-01-01,21050
1846-01-01,21264
1847-01-01,21478
1848-01-01,21693
1849-01-01,21908
1850-01-01,22123
1851-01-01,22338
1852-01-01,22564
1853-01-01,22789
1854-01-01,23015
1855-01-01,23241
1856-01-01,23466
1857-01-01,23689
1858-01-01,23914
1859-01-01,24138
1860-01-01,24360
1861-01-01,24585
1862-01-01,24862
1863-01-01,25142
1864-01-01,25425
1865-01-01,25712
1866-01-01,26003
1867-01-01,26296
1868-01-01,26594
1869-01-01,26896
1870-01-01,27201
1871-01-01,27516
1872-01-01,27855
1873-01-01,28198
1874-01-01,28545
1875-01-01,28897
1876-01-01,29254
1877-01-01,29616
1878-01-01,29983
1879-01-01,30354
1880-01-01,30731
1881-01-01,31094
1882-01-01,31403
1883-01-01,31717
1884-01-01,32033
1885-01-01,32353
1886-01-01,32677
1887-01-01,33005
1888-01-01,33336
1889-01-01,33670
1890-01-01,34009
1891-01-01,34358
1892-01-01,34736
1893-01-01,35119
1894-01-01,35506
1895-01-01,35898
1896-01-01,36294
1897-01-01,36694
1898-01-01,37099
1899-01-01,37509
1900-01-01,37923
1901-01-01,38328
1902-01-01,38696
1903-01-01,39068
1904-01-01,39444
1905-01-01,39823
1906-01-01,40206
1907-01-01,40593
1908-01-01,40984
1909-01-01,41380
1910-01-01,41767
1911-01-01,42132
1912-01-01,42341
1913-01-01,42604
1914-01-01,43017
1915-01-01,43279
1916-01-01,43453
1917-01-01,43556
1918-01-01,43516
1919-01-01,43441
1920-01-01,43729
1921-01-01,43965
1922-01-01,44394
1923-01-01,44628
1924-01-01,44935
1925-01-01,45085
1926-01-01,45265
1927-01-01,45429
1928-01-01,45626
1929-01-01,45730
1930-01-01,45891
1931-01-01,46074
1932-01-01,46335
1933-01-01,46520
1934-01-01,46666
1935-01-01,46869
1936-01-01,47081
1937-01-01,47289
1938-01-01,47494
1939-01-01,47762
1940-01-01,48226
1941-01-01,48216
1942-01-01,48400
1943-01-01,48789
1944-01-01,49016
1945-01-01,49182
1946-01-01,49217
1947-01-01,49539
1948-01-01,50033
1949-01-01,50331
1950-01-01,50572
1951-01-01,50302
1952-01-01,50444
1953-01-01,50593
1954-01-01,50765
1955-01-01,50946
1956-01-01,51184
1957-01-01,51431
1958-01-01,51653
1959-01-01,51956
1960-01-01,52373
1961-01-01,52807
1962-01-01,53290
1963-01-01,53624
1964-01-01,53991
1965-01-01,54350
1966-01-01,54645
1967-01-01,54961
1968-01-01,55213
1969-01-01,55459
1970-01-01,55629
1971-01-01,55928
1972-01-01,56097
1973-01-01,56223
1974-01-01,56236
1975-01-01,56226
1976-01-01,56216
1977-01-01,56190
1978-01-01,56178
1979-01-01,56240
1980-01-01,56330
1981-01-01,56358
1982-01-01,56291
1983-01-01,56316
1984-01-01,56409
1985-01-01,56554
1986-01-01,56684
1987-01-01,56804
1988-01-01,56916
1989-01-01,57076
1990-01-01,57237
1991-01-01,57439
1992-01-01,57585
1993-01-01,57714
1994-01-01,57862
1995-01-01,58025
1996-01-01,58164
1997-01-01,58314
1998-01-01,58475
1999-01-01,58684
2000-01-01,58886
2001-01-01,59113
2002-01-01,59366
2003-01-01,59637
2004-01-01,59950
2005-01-01,60413
2006-01-01,60827
2007-01-01,61319
2008-01-01,61824
2009-01-01,62260
2010-01-01,62759
2011-01-01,63285
2012-01-01,63705
2013-01-01,64106
2014-01-01,64597
2015-01-01,65110
2016-01-01,65573
